"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"NGGWPUS","198008","1716","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198009","1723","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198010","1790","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198011","1790","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198012","1949","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198013","21869.692","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198101","1890","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198102","1702","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198103","1871","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198104","1808","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198105","1838","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198106","1770","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198107","1797","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198108","1841","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198109","1716","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198110","1781","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198111","1714","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198112","1860","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198113","21587.453","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198201","1870","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198202","1716","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198203","1822","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198204","1719","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198205","1698","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198206","1647","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198207","1672","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198208","1643","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198209","1574","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198210","1615","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198211","1627","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198212","1669","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198213","20272.253","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198301","1748.117","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198302","1521.467","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198303","1577.466","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198304","1542.366","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198305","1532.055","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198306","1495.326","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198307","1551.881","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198308","1532.451","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198309","1462.65","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198310","1531.355","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198311","1521.775","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198312","1642.136","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198313","18659.046","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198401","1895.481","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198402","1655.189","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198403","1699.551","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198404","1671.84","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198405","1675.256","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198406","1623.846","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198407","1682.57","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198408","1658.423","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198409","1580.166","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198410","1667.575","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198411","1661.692","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198412","1794.932","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198413","20266.522","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198501","1833.462","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198502","1672.775","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198503","1689.944","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198504","1601.171","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198505","1585.096","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198506","1526.158","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198507","1570.088","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198508","1559.116","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198509","1536.11","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198510","1594.82","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198511","1605.066","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198512","1832.894","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198513","19606.699","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198601","1822.072","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198602","1590.678","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198603","1697.033","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198604","1532.501","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198605","1559.058","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198606","1488.517","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198607","1530.478","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198608","1531.488","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198609","1449.958","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198610","1549.075","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198611","1635.61","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198612","1744.243","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198613","19130.711","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198701","1830.364","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198702","1648.472","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198703","1745.201","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198704","1646.758","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198705","1641.199","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198706","1575.395","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198707","1592.419","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198708","1617.677","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198709","1546.332","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198710","1691.308","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198711","1730.252","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198712","1874.822","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198713","20140.2","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198801","1931.603","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198802","1758.595","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198803","1833.049","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198804","1690.503","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198805","1730.34","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198806","1660.533","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198807","1680.284","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198808","1697.417","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198809","1614.511","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198810","1753.272","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198811","1777.887","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198812","1871.261","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198813","20999.255","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198901","1871.079","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198902","1717.41","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198903","1814.437","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198904","1742.633","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198905","1775.667","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198906","1688.471","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198907","1725.453","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198908","1720.256","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198909","1649.263","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198910","1724.142","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198911","1789.778","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198912","1855.838","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198913","21074.425","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199001","1938.977","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199002","1719.684","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199003","1841.822","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199004","1752.771","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199005","1781.076","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199006","1712.084","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199007","1757.476","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199008","1764.953","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","199009","1690.802","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
